scenario;co2price;wind_lim;pv_cost;variable;AT;DE
base;120;10;36715;add_ng_mtr;0,0;0,0
base;120;10;36715;add_ng_mtr_chp;0,0;0,0
base;120;10;36715;add_oil_stm;0,0;0,0
base;120;10;36715;add_oil_stm_chp;0,0;0,0
base;120;10;36715;add_oil_cbt;1,1790571449472633;6,466375737868827
base;120;10;36715;add_oil_cbt_chp;0,0;0,0
base;120;10;36715;add_oil_cc;0,0;0,0
base;120;10;36715;add_bio;0,0;0,0
base;120;10;36715;add_bio_chp;0,0;0,0
base;120;10;36715;add_ng_boiler_chp;0,0;0,0
base;120;10;36715;add_heatpump_pth;0,0;0,0
base;120;10;36715;cost_airpol;220905,50520091754;2418975,791951788
base;120;10;16715;syscost;3423572,3281317838;23653566,995073102
base;120;10;16715;co2emission;4198,98049234854;42672,28212121953
base;120;10;16715;curtail;6766,961330914155;14056,693512387565
base;120;10;16715;gen_el;14644,399577341095;171919,16624854738
base;120;10;16715;gen_ht;22516,666599998534;127978,02409999707
base;120;10;16715;gen_biomass;4929,703581919822;74407,44504041574
base;120;10;16715;gen_renew;83228,57230921955;395696,836405743
base;120;10;16715;cons_spend;4711226,824824681;32866516,694140855
base;120;10;16715;prod_surplus;5657879,394547217;25169709,013977617
base;120;10;16715;exports;;9735,75933001489
base;120;10;16715;export_value;1552517,152454315;332945,03838047467
base;120;10;16715;import_value;-332945,03838047467;-1552517,152454315
base;120;10;16715;in_storages;11453,73340485006;116388,10456346153
base;120;10;16715;gen_storages;15177,347799592226;105947,25335914837
base;120;10;16715;price_el;57,367981944650005;60,94340376003999
base;120;10;16715;price_ht;26,321760298831407;25,661902038462916
base;120;10;16715;add_pv;27,648252767798937;87,89556593384778
base;120;10;16715;add_ror;0,0;0,0
base;120;10;16715;add_wind_off;0,0;15,0
base;120;10;16715;add_wind_on;10,0;0,0
base;120;10;16715;add_nuc;0,0;1,0
base;120;10;16715;add_lig_stm;0,0;1,0
base;120;10;16715;add_lig_stm_chp;0,0;0,0
base;120;10;16715;add_lig_boa;0,0;0,0
base;120;10;16715;add_lig_boa_chp;0,0;0,0
base;120;10;16715;add_coal_sub;0,0;0,0
